DATE,DEXKOUS
2015-09-09,1186.52
2015-09-10,1184.87
2015-09-11,1182.25
2015-09-14,1181.17
2015-09-15,1178.69
2015-09-16,1169.77
2015-09-17,1163.11
2015-09-18,1164.13
2015-09-21,1179.24
2015-09-22,1186.1
2015-09-23,1193.96
2015-09-24,1195.48
2015-09-25,1190.14
2015-09-28,1193.32
2015-09-29,1194.28
2015-09-30,1184.62
2015-10-01,1180.04
2015-10-02,1175.48
2015-10-05,1158.54
2015-10-06,1160.7
2015-10-07,1153.72
2015-10-08,1155.57
2015-10-09,1145.67
2015-10-12,
2015-10-13,1147.42
2015-10-14,1140.39
2015-10-15,1120.9
2015-10-16,1130.73
2015-10-19,1130.57
2015-10-20,1128.64
2015-10-21,1137.09
2015-10-22,1131.48
2015-10-23,1135.0
2015-10-26,1127.47
2015-10-27,1134.57
2015-10-28,1130.31
2015-10-29,1142.39
2015-10-30,1140.5
2015-11-02,1140.5
2015-11-03,1140.5
2015-11-04,1136.45
2015-11-05,1140.5
2015-11-06,1140.5
2015-11-09,1160.42
2015-11-10,1158.34
2015-11-11,
2015-11-12,1158.6
2015-11-13,1169.79
2015-11-16,1172.67
2015-11-17,1169.08
2015-11-18,1167.89
2015-11-19,1156.08
2015-11-20,1151.63
2015-11-23,1159.14
2015-11-24,1149.39
2015-11-25,1140.67
2015-11-26,
2015-11-27,1154.43
2015-11-30,1149.39
2015-12-01,1149.39
2015-12-02,1149.39
2015-12-03,1149.39
2015-12-04,1149.39
2015-12-07,1172.68
2015-12-08,1179.6
2015-12-09,1181.75
2015-12-10,1176.39
2015-12-11,1188.0
2015-12-14,1186.2
2015-12-15,1176.66
2015-12-16,1177.19
2015-12-17,1187.7
2015-12-18,1178.04
2015-12-21,1173.87
2015-12-22,1169.26
2015-12-23,1140.67
2015-12-24,1167.94
2015-12-25,
2015-12-28,1169.26
2015-12-29,1169.26
2015-12-30,1177.53
2015-12-31,1169.26
